,Unit Id,School,Applicatin_Status,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
367,110671,University of California-Riverside,Number of applicants,49079,43671,42629,38511,36101,30391,28099,26480,31884,30192,26872,25899,24420,21207,26543,22986,20980
368,110671,University of California-Riverside,Number admitted,24820,24674,28280,21412,21044,18843,19152,20094,26707,25439,23292,22369,19475,15592,22297,18816,17909
369,110671,University of California-Riverside,Number admitted who enrolled,4529,4596,5358,4044,4279,4034,3664,4469,4299,4424,3728,3594,2988,3456,3886,3561,3273
370,110671,University of California-Riverside,Percent of applicants admitted,50.6%,56.5%,66.3%,55.6%,58.3%,62.0%,68.2%,75.9%,83.8%,84.3%,86.7%,86.4%,79.8%,73.5%,84.0%,81.9%,85.4%
371,110671,University of California-Riverside,Percent of admitted who enrolled,18.2%,18.6%,18.9%,18.9%,20.3%,21.4%,19.1%,22.2%,16.1%,17.4%,16.0%,16.1%,15.3%,22.2%,17.4%,18.9%,18.3%
384,110705,University of California-Santa Barbara,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2004,Fall 2002,Fall 2001
385,110705,University of California-Santa Barbara,Number of applicants,92306,81824,77112,70536,66813,55258,49664,46727,44736,47076,40937,39857,37522,36885,36940,34694,34022
386,110705,University of California-Santa Barbara,Number admitted,29726,26846,27581,23026,24283,24556,22997,21248,21539,23184,22271,21282,19821,19585,19583,17696,17018
387,110705,University of California-Santa Barbara,Number admitted who enrolled,5094,4538,4996,4473,4738,4741,4098,3720,4587,4387,4338,4099,3828,3897,3898,3842,3649
388,110705,University of California-Santa Barbara,Percent of applicants admitted,32.2%,32.8%,35.8%,32.6%,36.3%,44.4%,46.3%,45.5%,48.1%,49.2%,54.4%,53.4%,52.8%,53.1%,53.0%,51.0%,50.0%
389,110705,University of California-Santa Barbara,Percent of admitted who enrolled,17.1%,16.9%,18.1%,19.4%,19.5%,19.3%,17.8%,17.5%,21.3%,18.9%,19.5%,19.3%,19.3%,19.9%,19.9%,21.7%,21.4%
540,122409,San Diego State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
541,122409,San Diego State University,Number of applicants,69399,60910,60834,59051,56921,51163,45027,44845,41861,50147,46718,42053,37549,33334,29128,29214,25229
542,122409,San Diego State University,Number admitted,23998,21574,21072,20321,19625,15970,14805,13447,15223,15658,20628,18481,16484,15831,14452,15771,15944
543,122409,San Diego State University,Number admitted who enrolled,5750,5366,5077,5229,5054,4139,4019,3339,4223,4386,5601,5124,4105,4141,3730,4107,4260
544,122409,San Diego State University,Percent of applicants admitted,34.6%,35.4%,34.6%,34.4%,34.5%,31.2%,32.9%,30.0%,36.4%,31.2%,44.2%,43.9%,43.9%,47.5%,49.6%,54.0%,63.2%
545,122409,San Diego State University,Percent of admitted who enrolled,24.0%,24.9%,24.1%,25.7%,25.8%,25.9%,27.1%,24.8%,27.7%,28.0%,27.2%,27.7%,24.9%,26.2%,25.8%,26.0%,26.7%
558,122755,San Jose State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2007,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
559,122755,San Jose State University,Number of applicants,36243,31909,31555,30584,29738,25155,22978,22999,21833,24092,21577,21556,16933,15088,13078,13453,13232
560,122755,San Jose State University,Number admitted,19811,21340,16862,16890,17797,15967,17265,13011,16250,15943,13874,13864,11005,9934,6789,9669,9609
561,122755,San Jose State University,Number admitted who enrolled,3774,4490,3208,3461,3486,3384,3947,2761,2764,3598,3276,3271,2554,2394,1980,2725,2773
562,122755,San Jose State University,Percent of applicants admitted,54.7%,66.9%,53.4%,55.2%,59.8%,63.5%,75.1%,56.6%,74.4%,66.2%,64.3%,64.3%,65.0%,65.8%,51.9%,71.9%,72.6%
563,122755,San Jose State University,Percent of admitted who enrolled,19.1%,21.0%,19.0%,20.5%,19.6%,21.2%,22.9%,21.2%,17.0%,22.6%,23.6%,23.6%,23.2%,24.1%,29.2%,28.2%,28.9%
642,126614,University of Colorado Boulder,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
643,126614,University of Colorado Boulder,Number of applicants,36604,36148,34047,31325,28852,22473,21744,20506,21150,19649,23004,19857,18160,17111,19360,20920,19152
644,126614,University of Colorado Boulder,Number admitted,29848,28861,26087,24941,24282,19710,18172,17828,17517,16514,17933,16187,15960,15003,16425,16790,15341
645,126614,University of Colorado Boulder,Number admitted who enrolled,6700,6569,6439,6208,5869,5846,5472,5700,5211,5555,5860,5591,5645,5047,5149,5586,5428
646,126614,University of Colorado Boulder,Percent of applicants admitted,81.5%,79.8%,76.6%,79.6%,84.2%,87.7%,83.6%,86.9%,82.8%,84.0%,78.0%,81.5%,87.9%,87.7%,84.8%,80.3%,80.1%
647,126614,University of Colorado Boulder,Percent of admitted who enrolled,22.4%,22.8%,24.7%,24.9%,24.2%,29.7%,30.1%,32.0%,29.7%,33.6%,32.7%,34.5%,35.4%,33.6%,31.3%,33.3%,35.4%
708,127741,University of Northern Colorado,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2004,Fall 2003,Fall 2002,Fall 2001
709,127741,University of Northern Colorado,Number of applicants,8294,7481,6783,7143,7831,7602,8747,8169,6410,6136,5641,6163,7533,6953,7197,7030,6709
710,127741,University of Northern Colorado,Number admitted,7527,6664,6123,6382,5551,5289,6095,5949,5652,5661,5215,5600,5725,5632,5076,5019,5229
711,127741,University of Northern Colorado,Number admitted who enrolled,1960,2151,2166,2055,1969,1939,2218,2272,2266,2351,2083,2243,2519,2441,2110,1981,2140
712,127741,University of Northern Colorado,Percent of applicants admitted,90.8%,89.1%,90.3%,89.3%,70.9%,69.6%,69.7%,72.8%,88.2%,92.3%,92.4%,90.9%,76.0%,81.0%,70.5%,71.4%,77.9%
713,127741,University of Northern Colorado,Percent of admitted who enrolled,26.0%,32.3%,35.4%,32.2%,35.5%,36.7%,36.4%,38.2%,40.1%,41.5%,39.9%,40.1%,44.0%,43.3%,41.6%,39.5%,40.9%
750,128771,Central Connecticut State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
751,128771,Central Connecticut State University,Number of applicants,7903,7870,7810,8686,8173,5551,5699,6473,6837,6791,6061,5665,5346,5549,5201,5503,5056
752,128771,Central Connecticut State University,Number admitted,5314,5254,4687,5096,4940,3560,3645,4087,4113,3697,3608,3480,3196,3421,3160,3024,3083
753,128771,Central Connecticut State University,Number admitted who enrolled,1464,1433,1269,1363,1369,1293,1352,1387,1357,1288,1311,1478,1294,1356,1295,1203,1544
754,128771,Central Connecticut State University,Percent of applicants admitted,67.2%,66.8%,60.0%,58.7%,60.4%,64.1%,64.0%,63.1%,60.2%,54.4%,59.5%,61.4%,59.8%,61.7%,60.8%,55.0%,61.0%
755,128771,Central Connecticut State University,Percent of admitted who enrolled,27.5%,27.3%,27.1%,26.7%,27.7%,36.3%,37.1%,33.9%,33.0%,34.8%,36.3%,42.5%,40.5%,39.6%,41.0%,39.8%,50.1%
762,129020,University of Connecticut,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
763,129020,University of Connecticut,Number of applicants,34886,34198,35980,34978,31280,27479,29966,27247,22142,21999,21058,21105,19778,18608,18466,17666,13760
764,129020,University of Connecticut,Number admitted,17015,16360,17560,18598,15629,14745,13397,12894,11949,10931,11474,10429,10102,9498,9319,10239,8507
765,129020,University of Connecticut,Number admitted who enrolled,3749,3683,3822,3774,3588,3755,3114,3327,3339,3221,3604,3179,3241,3260,3246,3208,3185
766,129020,University of Connecticut,Percent of applicants admitted,48.8%,47.8%,48.8%,53.2%,50.0%,53.7%,44.7%,47.3%,54.0%,49.7%,54.5%,49.4%,51.1%,51.0%,50.5%,58.0%,61.8%
767,129020,University of Connecticut,Percent of admitted who enrolled,22.0%,22.5%,21.8%,20.3%,23.0%,25.5%,23.2%,25.8%,27.9%,29.5%,31.4%,30.5%,32.1%,34.3%,34.8%,31.3%,37.4%
798,130934,Delaware State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
799,130934,Delaware State University,Number of applicants,7000,7636,8529,8141,7191,8884,9221,9221,8229,8075,9037,6503,5597,3692,3458,3204,3177
800,130934,Delaware State University,Number admitted,3442,3450,3467,3617,3145,3703,3933,3933,3414,2999,5083,2781,3561,2379,1931,1601,954
801,130934,Delaware State University,Number admitted who enrolled,1047,951,962,897,894,1036,1086,1086,906,757,730,806,828,948,747,618,823
802,130934,Delaware State University,Percent of applicants admitted,49.2%,45.2%,40.6%,44.4%,43.7%,41.7%,42.7%,42.7%,41.5%,37.1%,56.2%,42.8%,63.6%,64.4%,55.8%,50.0%,30.0%
803,130934,Delaware State University,Percent of admitted who enrolled,30.4%,27.6%,27.7%,24.8%,28.4%,28.0%,27.6%,27.6%,26.5%,25.2%,14.4%,29.0%,23.3%,39.8%,38.7%,38.6%,86.3%
804,130943,University of Delaware,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
805,130943,University of Delaware,Number of applicants,27691,27803,24456,24881,25194,25458,26249,23709,26548,24744,22646,20581,21930,21617,22208,22020,20365
806,130943,University of Delaware,Number admitted,18383,17484,16998,16569,17089,16467,15598,14431,13425,14109,13135,12196,10373,10256,9999,9267,9693
807,130943,University of Delaware,Number admitted who enrolled,4705,4671,4382,4487,4521,4224,4226,4254,3746,4223,3861,3936,3259,3522,3458,3450,3420
808,130943,University of Delaware,Percent of applicants admitted,66.4%,62.9%,69.5%,66.6%,67.8%,64.7%,59.4%,60.9%,50.6%,57.0%,58.0%,59.3%,47.3%,47.4%,45.0%,42.1%,47.6%
809,130943,University of Delaware,Percent of admitted who enrolled,25.6%,26.7%,25.8%,27.1%,26.5%,25.7%,27.1%,29.5%,27.9%,29.9%,29.4%,32.3%,31.4%,34.3%,34.6%,37.2%,35.3%
840,132903,University of Central Florida,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
841,132903,University of Central Florida,Number of applicants,41816,37693,34886,35572,33226,31820,33281,33968,32876,32335,28659,22022,24345,20265,22367,20533,19307
842,132903,University of Central Florida,Number admitted,17786,18810,17441,17279,16483,15572,15388,15303,15247,15125,13831,13251,12552,12542,12388,12289,11923
843,132903,University of Central Florida,Number admitted who enrolled,7233,6879,6416,6553,6470,6068,6082,6301,6153,6364,6315,6582,6650,6387,5984,5966,5701
844,132903,University of Central Florida,Percent of applicants admitted,42.5%,49.9%,50.0%,48.6%,49.6%,48.9%,46.2%,45.1%,46.4%,46.8%,48.3%,60.2%,51.6%,61.9%,55.4%,59.8%,61.8%
845,132903,University of Central Florida,Percent of admitted who enrolled,40.7%,36.6%,36.8%,37.9%,39.3%,39.0%,39.5%,41.2%,40.4%,42.1%,45.7%,49.7%,53.0%,50.9%,48.3%,48.5%,47.8%
870,133650,Florida Agricultural and Mechanical University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,,,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
871,133650,Florida Agricultural and Mechanical University,Number of applicants,8976,7533,6988,5832,5017,5029,5747,7322,8170,7951,-,-,4705,5185,5709,5467,4819
872,133650,Florida Agricultural and Mechanical University,Number admitted,3488,3437,2174,2998,2456,2263,2795,3540,4993,4823,-,-,2870,3703,4039,3875,3743
873,133650,Florida Agricultural and Mechanical University,Number admitted who enrolled,1372,1562,1087,1485,1237,1145,1364,1830,2815,2499,-,-,1326,1700,2515,2143,1898
874,133650,Florida Agricultural and Mechanical University,Percent of applicants admitted,38.9%,45.6%,31.1%,51.4%,49.0%,45.0%,48.6%,48.3%,61.1%,60.7%,-,-,61.0%,71.4%,70.7%,70.9%,77.7%
875,133650,Florida Agricultural and Mechanical University,Percent of admitted who enrolled,39.3%,45.4%,50.0%,49.5%,50.4%,50.6%,48.8%,51.7%,56.4%,51.8%,-,-,46.2%,45.9%,62.3%,55.3%,50.7%
876,133669,Florida Atlantic University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
877,133669,Florida Atlantic University,Number of applicants,17120,15176,15907,15847,14944,24889,25726,28197,14442,14532,13150,11822,11303,11698,9198,8202,7283
878,133669,Florida Atlantic University,Number admitted,10156,9107,9509,10725,9867,11880,10873,9805,7325,6745,6388,6698,6106,6396,6023,5915,5021
879,133669,Florida Atlantic University,Number admitted who enrolled,3163,2791,3191,3474,3060,3479,3237,3347,2613,2632,2776,2677,2312,2478,2455,2440,2348
880,133669,Florida Atlantic University,Percent of applicants admitted,59.3%,60.0%,59.8%,67.7%,66.0%,47.7%,42.3%,34.8%,50.7%,46.4%,48.6%,56.7%,54.0%,54.7%,65.5%,72.1%,68.9%
881,133669,Florida Atlantic University,Percent of admitted who enrolled,31.1%,30.6%,33.6%,32.4%,31.0%,29.3%,29.8%,34.1%,35.7%,39.0%,43.5%,40.0%,37.9%,38.7%,40.8%,41.3%,46.8%
888,133951,Florida International University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2005,Fall 2004,Fall 2003,Fall 2002
889,133951,Florida International University,Number of applicants,19410,19757,21809,21442,20175,20190,15863,20736,18623,18151,16277,12872,9005,11099,11888,8450,11307
890,133951,Florida International University,Number admitted,11366,10683,10920,10806,10648,10720,6418,10605,9411,6778,7090,4768,4812,6767,3744,3634,7185
891,133951,Florida International University,Number admitted who enrolled,4441,4335,4599,4202,4141,4525,2636,4541,3983,3147,3348,2698,2813,4680,2022,1734,3126
892,133951,Florida International University,Percent of applicants admitted,58.6%,54.1%,50.1%,50.4%,52.8%,53.1%,40.5%,51.1%,50.5%,37.3%,43.6%,37.0%,53.4%,61.0%,31.5%,43.0%,63.5%
893,133951,Florida International University,Percent of admitted who enrolled,39.1%,40.6%,42.1%,38.9%,38.9%,42.2%,41.1%,42.8%,42.3%,46.4%,47.2%,56.6%,58.5%,69.2%,54.0%,47.7%,43.5%
900,134097,Florida State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2001
901,134097,Florida State University,Number of applicants,50314,35334,29027,29828,30266,29579,30040,28313,26037,23439,25485,24343,23687,22450,22127,22438,18342
902,134097,Florida State University,Number admitted,18504,17381,16840,16674,16763,16803,16124,16561,15498,14308,11901,13415,14027,14016,14307,14465,11444
903,134097,Florida State University,Number admitted who enrolled,6324,6523,6282,6100,6021,6048,5738,6135,5952,5967,5031,6133,6222,6067,6240,6097,5772
904,134097,Florida State University,Percent of applicants admitted,36.8%,49.2%,58.0%,55.9%,55.4%,56.8%,53.7%,58.5%,59.5%,61.0%,46.7%,55.1%,59.2%,62.4%,64.7%,64.5%,62.4%
905,134097,Florida State University,Percent of admitted who enrolled,34.2%,37.5%,37.3%,36.6%,35.9%,36.0%,35.6%,37.0%,38.4%,41.7%,42.3%,45.7%,44.4%,43.3%,43.6%,42.2%,50.4%
912,134130,University of Florida,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
913,134130,University of Florida,Number of applicants,38905,32747,30118,29220,28662,27107,27419,27295,26512,25798,26326,24126,22093,21151,22458,22973,20119
914,134130,University of Florida,Number admitted,15077,13758,13836,13892,13072,12618,12092,11786,11459,11015,10916,10158,10652,12100,11928,12029,11728
915,134130,University of Florida,Number admitted who enrolled,6801,6428,6842,6887,6512,6373,6289,6451,6381,6253,6384,6443,6702,7241,6741,6596,6536
916,134130,University of Florida,Percent of applicants admitted,38.8%,42.0%,45.9%,47.5%,45.6%,46.5%,44.1%,43.2%,43.2%,42.7%,41.5%,42.1%,48.2%,57.2%,53.1%,52.4%,58.3%
917,134130,University of Florida,Percent of admitted who enrolled,45.1%,46.7%,49.5%,49.6%,49.8%,50.5%,52.0%,54.7%,55.7%,56.8%,58.5%,63.4%,62.9%,59.8%,56.5%,54.8%,55.7%
972,136172,University of North Florida,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
973,136172,University of North Florida,Number of applicants,14330,14305,11346,10902,11154,10635,10412,11053,11744,10159,7030,9010,8875,9147,8307,7887,7188
974,136172,University of North Florida,Number admitted,8753,8399,7322,6171,6756,5682,5415,5471,5964,6459,3371,5985,6067,5668,5752,5224,5033
975,136172,University of North Florida,Number admitted who enrolled,2474,2293,1981,1577,1862,1615,1611,1777,1998,2227,1181,2297,2543,2388,2316,2003,1948
976,136172,University of North Florida,Percent of applicants admitted,61.1%,58.7%,64.5%,56.6%,60.6%,53.4%,52.0%,49.5%,50.8%,63.6%,48.0%,66.4%,68.4%,62.0%,69.2%,66.2%,70.0%
977,136172,University of North Florida,Percent of admitted who enrolled,28.3%,27.3%,27.1%,25.6%,27.6%,28.4%,29.8%,32.5%,33.5%,34.5%,35.0%,38.4%,41.9%,42.1%,40.3%,38.3%,38.7%
1164,139931,Georgia Southern University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
1165,139931,Georgia Southern University,Number of applicants,11522,9202,9834,10098,9679,10525,11032,9817,9214,8620,8090,7360,8302,8434,7921,8181,8146
1166,139931,Georgia Southern University,Number admitted,7797,6284,6348,6082,6107,5473,5456,5493,5154,4335,3669,3486,4585,4575,4277,4503,5000
1167,139931,Georgia Southern University,Number admitted who enrolled,4347,3508,3600,3495,3498,3604,3542,3622,3539,3131,3058,2750,3145,3010,2764,2609,2665
1168,139931,Georgia Southern University,Percent of applicants admitted,67.7%,68.3%,64.6%,60.2%,63.1%,52.0%,49.5%,56.0%,55.9%,50.3%,45.4%,47.4%,55.2%,54.2%,54.0%,55.0%,61.4%
1169,139931,Georgia Southern University,Percent of admitted who enrolled,55.8%,55.8%,56.7%,57.5%,57.3%,65.9%,64.9%,65.9%,68.7%,72.2%,83.3%,78.9%,68.6%,65.8%,64.6%,57.9%,53.3%
1170,139940,Georgia State University,Reporting period,,,,,,Fall 2013,Fall 2011,Fall 2010,Fall 2010,Fall 2008,Fall 2007,Fall 2006,Fall 2006,Fall 2004,Fall 2004,Fall 2003,Fall 2001
1171,139940,Georgia State University,Number of applicants,16348,14462,16348,13970,12858,13890,12868,12656,12656,9856,9775,8344,8346,8481,8481,9296,8134
1172,139940,Georgia State University,Number admitted,11668,10101,9619,7914,7643,7592,6567,6559,6559,4039,5198,4370,4370,4775,4775,4575,4332
1173,139940,Georgia State University,Number admitted who enrolled,4997,4208,3984,3447,3701,3460,2758,2928,2985,2757,2607,2265,2177,2270,2270,1944,2200
1174,139940,Georgia State University,Percent of applicants admitted,71.4%,69.8%,58.8%,56.6%,59.4%,54.7%,51.0%,51.8%,51.8%,41.0%,53.2%,52.4%,52.4%,56.3%,56.3%,49.2%,53.3%
1175,139940,Georgia State University,Percent of admitted who enrolled,42.8%,41.7%,41.4%,43.6%,48.4%,45.6%,42.0%,44.6%,45.5%,68.3%,50.2%,51.8%,49.8%,47.5%,47.5%,42.5%,50.8%
1176,139959,University of Georgia,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2003,Fall 2002
1177,139959,University of Georgia,Number of applicants,26164,24165,22694,21945,20918,18458,17569,17408,17776,17207,16871,15924,12326,13267,11813,11813,12786
1178,139959,University of Georgia,Number admitted,12723,13052,12232,11604,11655,10352,11062,10318,9557,9569,9242,9214,7982,8197,8885,8885,8340
1179,139959,University of Georgia,Number admitted who enrolled,5727,5826,5433,5274,5243,4936,5482,4679,4684,4851,4721,5064,4712,4513,5190,5190,4228
1180,139959,University of Georgia,Percent of applicants admitted,48.6%,54.0%,53.9%,52.9%,55.7%,56.1%,63.0%,59.3%,53.8%,55.6%,54.8%,57.9%,64.8%,61.8%,75.2%,75.2%,65.2%
1181,139959,University of Georgia,Percent of admitted who enrolled,45.0%,44.6%,44.4%,45.4%,45.0%,47.7%,49.6%,45.3%,49.0%,50.7%,51.1%,55.0%,59.0%,55.1%,58.4%,58.4%,50.7%
1188,140960,Savannah State University,Reporting period,,,,,,Fall 2013,Fall 2012,,,,,Fall 2007,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2002
